;user;username;text;ts;key
22;Torerne;Torerne;I am at ACME tomorrow morning, too;1502810858.00023;1502810858U035FRZHY
23;Myke;Myke;Tomorrow i will do HO because the worker will come by to remove the drier in my bathroom. So i need to be there.;1502810826.000015;1502810826U0MGNKETU
24;Kenning;Kenning;I will be at ACME tomorrow morning.;1502810777.000495;1502810777U4CM3PGSH
25;Vaerys;Vaerys;Would work from home tomorrow, will concentrate on GTM (that was an interesting typo);1502809044.000304;1502809044U0PLNK7EK
26;Myke;Myke;My alarm didn't go off today, Ill be later this morning around 11. Be available on the train.;1502779919.0000858;1502779919U0MGNKETU
27;Tareneos;Tareneos;i go for a late lunch then back online in an hour, c.a 15:30 (but not in the office);1502713906.1239526;1502713906U4C4ZJYNS
28;Darnor;Darnor;Im at MoonInc tomorrow morning.;1502709596.914999;1502709596U1D7Q9J8M
29;Eliar;Eliar;I'm in HO tomorrow due to a doctor's appointment at 11am.;1502709497.8903902;1502709497U0A8NPHRD
30;Overton;Overton;I will have to leave at 16:45 today because of a doctors appointment at 17:00. I will finish up some work later in the evening.;1502702727.016556;1502702727U0PSDKXHR
31;Gaelralis;Gaelralis;get well soon! :slightly_smiling_face:;1502702422.921431;1502702422U0HLAK1T6
32;Taengaeron;Taengaeron;I am ill today, will try to be in the office tomorrow again.;1502699900.1287858;1502699900U4C55CKGX
33;Tareneos;Tareneos;Arriving late this morning, one of the grandparents has an eye infection so need to watch the kids this morning, but will try to make the planned 11.30 meeting;1502692393.2609134;1502692393U4C4ZJYNS
34;Myke;Myke;I'll be coming a bit late in the office today, around noon. Been working on testing the GTM until 3am.;1502676107.093277;1502676107U0MGNKETU
35;Eliar;Eliar;I'm in HO this afternoon (due to Physiotherapy).;1502450868.1559038;1502450868U0A8NPHRD
36;Gonaleos;Gonaleos;I missed my bus, I will be in the office 15 mins later;1502433302.333123;1502433302U3W886EF4
37;Vaerys;Vaerys;I forgot to mention this yesterday, but as discussed with Jaine I am in HO today, still have fever ;1502428115.5783286;1502428115U0PLNK7EK
38;Olmomir;Olmomir;I have to renew my permit. Therefore today I will leave at 17.;1502362946.978529;1502362946U0CN3AKDL
39;Celtheon;Celtheon;Sorry, I missed the bus I'll be 15min late.;1502346832.8218858;1502346832U1RLS54MB
40;Vaerys;Vaerys;In HO, running a fever so availability might be limited;1502344638.386587;1502344638U0PLNK7EK
41;Torerne;Torerne;I am at Shopishop again tomorrow morning.;1502293792.1948311;1502293792U035FRZHY
42;Myke;Myke;HO for me too, last repair work (hopefully) in my bathroom;1502287131.894058;1502287131U0MGNKETU
43;Darnor;Darnor;I have a day off tomorrow. Might be here in the afternoon.;1502287036.83566;1502287036U1D7Q9J8M
44;Vaerys;Vaerys;Going to remain at HO tomorrow, feeling feverish;1502286846.721917;1502286846U0PLNK7EK
45;Baegar;Baegar;I will be in HO tomorrow morning and work on an offer for ACME Tracking. In the afternoon I will be at ACME in Horgen.;1502280283.767894;1502280283U035J4RG4
46;Kenning;Kenning;I will do HO tomorrow morning because I will get a visit from an exterminator at my flat.;1502276642.678717;1502276642U4CM3PGSH
47;Vaerys;Vaerys;As announced, I am in HO today (also feeling a bit under the weather, hopefully it improves by the evening);1502259131.2861538;1502259131U0PLNK7EK
48;Joragni;Joragni;As scheduled, I'm taking the day off today. See you all again on Thursday.;1502258334.135314;1502258334U0K4J0613
49;Celtheon;Celtheon;I'll arrive around 10 today, I have to make my driving license replaced to a swiss one.;1502257631.016404;1502257631U1RLS54MB
50;Darnor;Darnor;Will be at MoonInc in the morning. ;1502207314.1155882;1502207314U1D7Q9J8M
51;Furrow;Furrow;I’ll do HO tomorrow;1502206128.3479118;1502206128U3V31A9M0
52;Ryswell;Ryswell;On vacation now :slightly_smiling_face: and back in the office on August 30th;1502205779.122267;1502205779U2777Q7E3
53;Eliar;Eliar;I am at a meeting in Zurich this afternoon (with <@U035G74QE>).;1502171052.819909;1502171052U0A8NPHRD
54;Torerne;Torerne;I am at a meeting in Schinznach this afternoon;1502170895.7938929;1502170895U035FRZHY
55;Ragaenys;Ragaenys;Tomorrow I will leave around 11.30 and will be back after lunch for a pregnancy medical consultation;1502090283.801859;1502090283U4A2FRAQ4
56;Myke;Myke;I'll at HO tomorrow and Thursday. On Thursday I need to be home for bathroom water leaking last finishing work.;1502090251.793549;1502090251U0MGNKETU
57;Vaerys;Vaerys;On Wednesday, I will be in HO too;1502090095.752046;1502090095U0PLNK7EK
58;Baegar;Baegar;On Wednesday I will be in HO.;1502089135.516404;1502089135U035J4RG4
59;Gonaleos;Gonaleos;I missed my bus because the route is changed temporarily, so I will arrive 15 mins later;1502087879.2469301;1502087879U3W886EF4
60;Maehagar;Maehagar;Doing home office today, as I have to wait for an anticipated delivery ;1502084931.719275;1502084931U278DLL2D
61;Olmomir;Olmomir;"I will be off Monday (07) &amp; Tuesday (08) :back_away:";1501853886.9553368;1501853886U0CN3AKDL
62;Tareneos;Tareneos;I'm not 100% online today, got a bad headache that started just before lunch, finding it hard to focus;1501845796.047994;1501845796U4C4ZJYNS
63;Taengaeron;Taengaeron;Also doing home office today;1501831134.4489849;1501831134U4C55CKGX
64;Galeris;Galeris;I have a day off tomorrow so i'll be at the 4 - :evergreen_tree: - :cityscape: - :ocean:  enjoying some :beers:  :smile:;1501784080.245184;1501784080U036SKV77
65;Furrow;Furrow;Tomorrow I’ll be in HO too;1501772865.499737;1501772865U3V31A9M0
66;Myke;Myke;Tomorrow I'll be in HO too;1501772857.4945474;1501772857U0MGNKETU
67;Overton;Overton;Will have to leave a bit earlier tomorrow (at around 16:30).;1501771348.486515;1501771348U0PSDKXHR
68;Darnor;Darnor;Tomorrow I'll be in HO;1501761873.646661;1501761873U1D7Q9J8M
69;Myke;Myke;Be about 40m late. Missed my train this morning.;1501741495.166262;1501741495U0MGNKETU
70;Darnor;Darnor;Will be at MoonInc tomorrow morning;1501686676.737542;1501686676U1D7Q9J8M
71;Gaelralis;Gaelralis;I will be on my way to the country side this afternoon and work thursday and friday HO. sorry for the late notice.;1501671840.580493;1501671840U0HLAK1T6
72;Vaerys;Vaerys;I have to leave at 17:15 so that I can go and collect a parcel from the post office;1501666135.704991;1501666135U0PLNK7EK
73;Furrow;Furrow;Missed train connection… I will be at the office at around 09.10. Working and online now.;1501655393.268282;1501655393U3V31A9M0
74;Eliar;Eliar;As announced last Monday, I am off today :v:;1501654705.1246474;1501654705U0A8NPHRD
75;Maehagar;Maehagar;Will be a little bit late for the daily, - ZVV managed to cancel all of my trains and to delay the next one :angry: ;1501654524.089001;1501654524U278DLL2D
76;Myke;Myke;I'll be at HO on Wednesday. Second inspection on the drier in my bathroom, so I need to be home ;1501516524.175385;1501516524U0MGNKETU
77;Eliar;Eliar;I am off on Wednesday.;1501489604.5742118;1501489604U0A8NPHRD
78;Taengaeron;Taengaeron;I am off on Monday, and Wednesday!;1501489349.484261;1501489349U4C55CKGX
79;Torerne;Torerne;I will only be in the Office in the early Morning / after that I will take the Day Off, too. ;1501475682.515255;1501475682U035FRZHY
80;Bernareon;Bernareon;yeah, me too :slightly_smiling_face:;1501447958.414088;1501447958U035G74QE
81;Olmomir;Olmomir;I will be off tomorrow (Monday). ;1501447911.410573;1501447911U0CN3AKDL
82;Darnor;Darnor;Will have a day off on Monday. ;1501447755.399083;1501447755U1D7Q9J8M
83;Balaemar;Balaemar;I will leaving at 3 today.;1501218223.155307;1501218223U035FRUCY
84;Vaerys;Vaerys;I will be in HO tomorrow, need to take care of some stuff at the Kreisburo;1501167194.777214;1501167194U0PLNK7EK
85;Taengaeron;Taengaeron;I will be in de office around 10 this morning;1501136303.099034;1501136303U4C55CKGX
86;Maehagar;Maehagar;Will be at the office a tiny bit later today, since I missed my train;1501135903.023967;1501135903U278DLL2D
87;Myke;Myke;I'll be doing HO tomorrow and maybe Friday to focus on GTM implementation;1501083538.181642;1501083538U0MGNKETU
88;Celtaris;Celtaris;I will be leaving a bit earlier today.;1501079552.545603;1501079552U2Q4H6S4E
89;Eliar;Eliar;Have to leave around 16:45 today because I have to go to the post office. Will be available afterwards.;1501073591.201377;1501073591U0A8NPHRD
90;Taengaeron;Taengaeron;will be in the office a bit later this morning, started this morning with conf calls from home;1501053523.455612;1501053523U4C55CKGX
91;Styrund;Styrund;I will be in HO this afternoon working on the ACME Layout for an A/B-Testing with the calculator;1501050753.7876608;1501050753U036U40UC
92;Gonaleos;Gonaleos;I will be on holiday from tomorrow until the end of the next week;1500983198.254787;1500983198U3W886EF4
93;Eliar;Eliar;<@U035FRZHY> <@U035B8PRU> <@U4A2FRAQ4> and I are in Zurich tomorrow morning for the Mobile ID kick off meeting.;1500983146.239057;1500983146U0A8NPHRD
94;Taengaeron;Taengaeron;I will be working from HO this afternoon.;1500982690.1056552;1500982690U4C55CKGX
95;Caenraenos;Caenraenos;Reduced availability for ACME meeting from now to 1600 (driving car);1500976516.2066581;1500976516U035AASB8
96;Celtaris;Celtaris;I am not feeling too well and I will be working from HO in the afternoon.;1500975957.007142;1500975957U2Q4H6S4E
97;Balaemar;Balaemar;My daughter has a bit fever and has to stay at home today. So I am in HO today.;1500956466.930591;1500956466U035FRUCY
98;Celtaris;Celtaris;I have an appointment in the city in the morning and will be a little late.;1500931552.096643;1500931552U2Q4H6S4E
99;Balaemar;Balaemar;My daughter is ill again. We will see tomorrow but if she has to stay at home I will be in HO tomorrow. If it is necessary I could come to the office in the afternoon.;1500911585.335724;1500911585U035FRUCY
100;Jaereron;Jaereron;I have to leave a little bit earlier .. at 17:25;1500908132.14474;1500908132U035G5WMS
101;Caenraenos;Caenraenos;I will be in HO tomorrow so I can concentrate on ACME Technical Spec.;1500907817.945487;1500907817U035AASB8
102;Myke;Myke;I'll be doing HO tomorrow, need to be at home for some post-reparation inspection of the water leakage in my bathroom.;1500900869.094923;1500900869U0MGNKETU
103;Balaemar;Balaemar;Instead of waiting for the FE guys I am leaving now and be earlier back in HO;1500900455.930597;1500900455U035FRUCY
104;Balaemar;Balaemar;I have to leave at 3pm today for an just received appointment in the garage. I will be in HO afterwards at around 17:30 and complete the new ACME docker 14.0;1500891496.151286;1500891496U035FRUCY
105;Caenraenos;Caenraenos;I am at ACME from 0900 to 1330;1500878282.949252;1500878282U035AASB8
106;Eliar;Eliar;Due to physiotherapy I'll have to catch the Train at 3 pm. Will work from home afterwards.;1500878266.945523;1500878266U0A8NPHRD
107;Styrund;Styrund;sorry for the short notice, we totally forgot about that;1500877889.866778;1500877889U036U40UC
108;Styrund;Styrund;My wife has a doctors appointment today afternoon so i will be in home office after lunch;1500877878.864519;1500877878U036U40UC
109;Celtaris;Celtaris;I have a day off tomorrow - see you all on Tuesday.;1500832901.7173474;1500832901U2Q4H6S4E
110;Kenning;Kenning;I am doing HO today;1500616085.277883;1500616085U4CM3PGSH
111;Baegar;Baegar;I will be in the HO in the afternoon.;1500615445.177835;1500615445U035J4RG4
112;Myke;Myke;I'll be doing HO tomorrow;1500562550.046113;1500562550U0MGNKETU
113;Taengaeron;Taengaeron;<@U4C55CKGX|Taengaeron> has joined the channel;1500549703.96235;1500549703U4C55CKGX
114;Kenning;Kenning;I will be in HO tomorrow (whole day).;1500546433.007256;1500546433U4CM3PGSH
115;Celtaris;Celtaris;I wil be in HO tomorrow afternoon.;1500545657.762855;1500545657U2Q4H6S4E
116;Darnor;Darnor;Will be out of office in the afternoon for meetings with MoonInc.;1500542567.6593769;1500542567U1D7Q9J8M
117;Galeris;Galeris;I’m in early today as I have to leave at 16:50 today;1500529033.810448;1500529033U036SKV77
118;Vaerys;Vaerys;I would need to leave around lunch today to take care of some insurance stuff and then I will continue to work from home after that ;1500527940.63715;1500527940U0PLNK7EK
119;Balaemar;Balaemar;tomorrow (thursday) I need to leave at 16:30 to watch for my daughter and on friday at 17:00 for an graduation party of my son's school;1500451075.43876;1500451075U035FRUCY
120;Galeris;Galeris;I’ll need to leave at 17:40 at the latest today due to an insurance appointment;1500448523.656612;1500448523U036SKV77
121;Myke;Myke;I'll be about an hour late today. Trouble sleeping last night and overslept. Be available on the train.;1500444638.753203;1500444638U0MGNKETU
122;Maehagar;Maehagar;I need to leave at ~14:45 tomorrow in order to catch a flight;1500408696.15328;1500408696U278DLL2D
123;Ryswell;Ryswell;As I still have pain after the op on Monday, I will stay tomorrow at home and do HO;1500407227.36326;1500407227U2777Q7E3
124;Eliar;Eliar;I'm offline for about 1 hour because of physiotherapy. Will be online afterwards.;1500382776.96632;1500382776U0A8NPHRD
125;Darnor;Darnor;Will be out of office between 3pm and 4pm due to a a insurance appointment.;1500363750.459222;1500363750U1D7Q9J8M
126;Kenning;Kenning;I will come 15 minutes later as I am at the post office;1500360851.65672;1500360851U4CM3PGSH
127;Myke;Myke;As discussed with Jaine, I'll be in HO tomorrow too. Be working on GTM depending on feedback;1500309124.757713;1500309124U0MGNKETU
128;Malaegor;Malaegor;<@U1D7Q9J8M> would like to have a daily deploy to prod for this week;1500303424.2602859;1500303424U2D54KATU
129;Barler;Barler;"I need to leave earlier tomorrow afternoon (16:00)
If someone wants a Castor test/prod deployment keep in mind that Bruce is also not here tomorrow afternoon. So let me know early. Otherwise you can try to ask Rodrigo :wink:";1500301641.1372788;1500301641U3LNBFS85
130;Eliar;Eliar;As discussed with R2D2 I am in HO tomorrow.;1500295591.968894;1500295591U0A8NPHRD
131;Baegar;Baegar;This week I will take days off on Tuesday and on Thursday.;1500283828.4041786;1500283828U035J4RG4
132;Caenraenos;Caenraenos;I am in HO this afternoon to concentrate on the ACME Tech Spec, and tomorrow I will be at ACME in Horgen.;1500282641.007364;1500282641U035AASB8
133;Torerne;Torerne;I am at Credit Suisse for a YIO-meeting tomorrow morning and will work from home before. Back in the office after lunch. And on Friday I am leaving at noon.;1500278852.771652;1500278852U035FRZHY
134;Kenning;Kenning;I would like to do HO on Friday.;1500278802.7562392;1500278802U4CM3PGSH
135;Gaelralis;Gaelralis;Wie angekündigt, mache ich HO heute und morgen. ;1500270069.927246;1500270069U0HLAK1T6
136;Braddock;Braddock;I’m on holidays until the 7th of August. I have very limited access to internet. It can happen that I’m not able to see any digital message for a few days in a row.  Please call me when you need to exchange information that requires a swift response. Thank you.;1500246205.330823;1500246205U0CNKFT0A
137;Ryswell;Ryswell;As Ramon already knows I am not in the office tomorrow because of a hospital appointment. On Tuesday I will be in HO. Back on Wednesday;1500228298.9053528;1500228298U2777Q7E3
138;Joragni;Joragni;As I mentioned earlier this week, I'm on holiday from 17 - 28 July. I'll be back in the office on Monday, 31 July;1500043196.820211;1500043196U0K4J0613
139;Myke;Myke;The worker has returned to work in my bathroom. I'm going out now for late lunch.;1500031096.0095642;1500031096U0MGNKETU
140;Furrow;Furrow;Because of the holiday schedule I accidentally took a slower train. Will be in tze office in around one hour. But working an available right now.;1500013911.16006;1500013911U3V31A9M0
141;Overton;Overton;as already mentioned a few days before, I will be in HO in the afternoon.;1500013778.1328561;1500013778U0PSDKXHR
142;Celtaris;Celtaris;I will be leaving around 11:30 for lunch and I will be in HO in the afternoon.;1500011467.724283;1500011467U2Q4H6S4E
143;Myke;Myke;As mentioned, I'll be doing HO today from 7:30 to 4:30;1500011414.715944;1500011414U0MGNKETU
144;Celtheon;Celtheon;Today I won't be available between 9-11.;1499989582.912019;1499989582U1RLS54MB
145;Myke;Myke;I'll be in HO tomorrow. The worker will start working from 7.30am for the water leakage and I need to inspect the work at the end of the day.;1499959602.432023;1499959602U0MGNKETU
146;Galeris;Galeris;I’ll need to leave after the DI info today, so if you need anything ask me now, as I have to be off afterwards;1499952398.0585651;1499952398U036SKV77
147;Barler;Barler;I am now away until 1600;1499945149.338864;1499945149U3LNBFS85
148;Balaemar;Balaemar;tomorrow (friday) I have to leave at 1500 to watch after my kids when my wife is away for an appointment;1499940381.908711;1499940381U035FRUCY
149;Tareneos;Tareneos;Away now until 16:00,;1499933383.390334;1499933383U4C4ZJYNS
150;Barler;Barler;Will be away from 12:00 to 16:00 but in the office afterwards;1499931154.672653;1499931154U3LNBFS85
151;Bernareon;Bernareon;gonna be late today because yesterday got late;1499927828.811856;1499927828U035G74QE
152;Brarald;Brarald;I'm now in HO. Will be in the office in the afternoon.;1499927449.7296062;1499927449U4U5QNWTZ
153;Barler;Barler;I need to leave at 15:00 today due to a doctors appointment;1499923647.0443811;1499923647U3LNBFS85
154;Braddock;Braddock;Today I have an appointment from 11:15 to 11:45 at the physiotherapist.;1499922582.8737054;1499922582U0CNKFT0A
155;Ragaenys;Ragaenys;<@U035FRZHY> <@U0CN3AKDL> please be aware that tomorrow I will have to leave at 18 to see the last house and then have a birthday party.;1499882775.1251106;1499882775U4A2FRAQ4
156;Styrund;Styrund;;1499853525.504107;1499853525U036U40UC
157;Styrund;Styrund;tomorrow i will be here in the afternoon instead of in the morning;1499853515.500574;1499853515U036U40UC
158;Gaelralis;Gaelralis;next week, I will be on HO in the bernese countryside.;1499844946.4460142;1499844946U0HLAK1T6
159;Tareneos;Tareneos;Today is my half-day, papi tag, I have to leave at 11:15 to pickup my kid from school and cook lunch, I will be offline until the night again;1499844802.4037304;1499844802U4C4ZJYNS
160;Celtaris;Celtaris;On  Friday, I will be out for lunch and in HO afterwards.;1499841797.608811;1499841797U2Q4H6S4E
161;Maehagar;Maehagar;I'll have to come 1h later today - gotta visit the post office ;1499837560.802311;1499837560U278DLL2D
162;Joragni;Joragni;As scheduled, I'm taking the day off today. See you all again on Thursday.;1499832214.95479;1499832214U0K4J0613
163;Darnor;Darnor;Tomorrow nalah and I will be at Tertianum and MoonInc. ;1499790075.321945;1499790075U1D7Q9J8M
164;Baegar;Baegar;Tomorrow I will be in HO (as already announced on Monday);1499789532.005637;1499789532U035J4RG4
165;Myke;Myke;"Tomorrow &amp; Friday I will work from home on GTM. On Friday morning, I have someone come to repair the water leakage in my bathroom from 7.30am, so I will work from the Library.";1499788042.071527;1499788042U0MGNKETU
166;Balaemar;Balaemar;i am off for about 45min;1499780049.0577981;1499780049U035FRUCY
167;Overton;Overton;My back-pain got worse over the night so I’m going to visit a chiropractor later today. Because of this I have to leave at 16:30. I will be back online at 18:00 and work some more. Also I will be in HO on Friday afternoon.;1499759236.640032;1499759236U0PSDKXHR
168;Tareneos;Tareneos;FYI, I have a hard stop at 16:00 as I have to pickup the kids this evening;1499756399.830859;1499756399U4C4ZJYNS
169;Joragni;Joragni;From Monday, 17 July through Friday, 28 July, I'll be on vacation.;1499748702.4333231;1499748702U0K4J0613
170;Caenraenos;Caenraenos;I will be at Pollux in the morning with <@U4C4ZJYNS> and <@U035G5WMS>, and at ACME in the afternoon.;1499722672.702147;1499722672U035AASB8
171;Furrow;Furrow;I forgot to mention  that I'll be in HO tomorrow as discussed with R2D2. Sorry!;1499701736.444093;1499701736U3V31A9M0
172;Balaemar;Balaemar;my daughter has some fever and should stay at home tomorrow. For that reason i will be in HO tomorrow and focus on ACME CR-205;1499696435.077939;1499696435U035FRUCY
173;Baegar;Baegar;On Wednesday I will presumably be in HO.;1499683211.777909;1499683211U035J4RG4
174;Baegar;Baegar;Today I need to leave at 17:15.;1499683122.751938;1499683122U035J4RG4
175;Darnor;Darnor;Zoltan and I are at Jelmoli this afternoon ;1499682037.422573;1499682037U1D7Q9J8M
176;Olmomir;Olmomir;I had a quick talk with Mario, and will continue working from HO today after lunch. I will be focusing on MoonInc.;1499681183.1469018;1499681183U0CN3AKDL
177;Galeris;Galeris;I have a doctors appointment at 11:30 so I’ll need to leave at around 11:10, will be back again by 13:00;1499668560.153891;1499668560U036SKV77
178;Celtheon;Celtheon;I'll work remotely this week working on two tasks: 1) setting up Logstash + Kibana  for Castor, 2) tag navigation improvements;1499663317.30181;1499663317U1RLS54MB
179;Furrow;Furrow;To work on the train I’ll leave in around 15 minutes.;1499438536.801449;1499438536U3V31A9M0
180;Maehagar;Maehagar;My GF feels ill, gotta leave half an hour earlier;1499437938.463718;1499437938U278DLL2D
181;Galeris;Galeris;as mentioned yesterday, i'm off to the dentist now;1499435871.3105366;1499435871U036SKV77
182;Ragaenys;Ragaenys;I will try to have a fast lunch at 12 today so I can leave at 14 to see an apartment and turn back again;1499422284.6311474;1499422284U4A2FRAQ4
183;Celtaris;Celtaris;As announced yesterday, I am in HO.;1499408352.48374;1499408352U2Q4H6S4E
184;Joragni;Joragni;I'll be taking this afternnon off. I'll be leaving no later than 12:20.;1499407400.31649;1499407400U0K4J0613
185;Vaerys;Vaerys;Fishere here :slightly_smiling_face:;1499406166.1200721;1499406166U0PLNK7EK
186;Galeris;Galeris;as announced yesterday i'm in home office today;1499404457.868159;1499404457U036SKV77
187;Galeris;Galeris;as discussed with Darnor i'll be in homeoffice tomorrow, also i'll be offline after 16:00 due to a dentist appointment;1499373100.369593;1499373100U036SKV77
188;Myke;Myke;"I'll do HO tomorrow for GTM self-training &amp; spec review";1499352896.271856;1499352896U0MGNKETU
189;Baegar;Baegar;Tomorrow I will take a day off.;1499327878.273766;1499327878U035J4RG4
190;Celtaris;Celtaris;I will be in HO tomorrow and work on ACME (implementing Occasionskampagne to 13.1) and I will be off on Monday (90% pensum);1499325920.680168;1499325920U2Q4H6S4E
191;Eliar;Eliar;Due to physiotherapy I'll have to leave earlier today.;1499324934.412962;1499324934U0A8NPHRD
192;Caenraenos;Caenraenos;At ZBK with <@U035B8PRU> today morning and at ACME with <@U035J4RG4> in the afternoon as announced above.;1499322823.9154599;1499322823U035AASB8
193;Baegar;Baegar;Jainek: I already have one on the terrasse...:wink:;1499268274.143385;1499268274U035J4RG4
194;Kenning;Kenning;We should rent an office there...;1499268057.0110002;1499268057U4CM3PGSH
195;Baegar;Baegar;As already announced: <@U035AASB8> and I will be in Horgen again tomorrow afternoon.;1499267981.964343;1499267981U035J4RG4
196;Kenning;Kenning;I will be at ACME tomorrow afternoon and in HO afterwards;1499267834.87638;1499267834U4CM3PGSH
197;Galeris;Galeris;I have another doctors appointment tomorrow morning at 8:30 - should be short, but I’ll probably be late for the daily;1499264431.793626;1499264431U036SKV77
198;Tareneos;Tareneos;FYI: i need to be offline from now until after 22:00;1499258430.7484071;1499258430U4C4ZJYNS
199;Vaerys;Vaerys;I will be in HO on Friday. Need to go to the MigrationFishert with the wife.;1499248976.841665;1499248976U0PLNK7EK
200;Brarald;Brarald;I will be at the office in 30 min.;1499239283.45982;1499239283U4U5QNWTZ
201;Myke;Myke;I'll be at the office around noon. I need to pick up some urgent document from the local office.;1499235749.6415381;1499235749U0MGNKETU
202;Gaelralis;Gaelralis;as announced on monday, i am in HO;1499233135.2163901;1499233135U0HLAK1T6
203;Braddock;Braddock;I do HO in the morning. We are expecting a phone call from the real estate agent around 12:00-13:00. I come to the office after the call. Sorry for the late announcement.;1499232379.109324;1499232379U0CNKFT0A
204;Balaemar;Balaemar;I will be in HO tomorrow;1499231560.998475;1499231560U035FRUCY
205;Caenraenos;Caenraenos;I am at ACME today (all day).;1499224049.0214891;1499224049U035AASB8
206;Galeris;Galeris;I have a doctors appointment tomorrow at 8am - so might not make it for the daily depending how long that takes;1499178183.198333;1499178183U036SKV77
207;Celtaris;Celtaris;I will be in HO tomorrow afternoon and on Friday afternoon.;1499178122.176637;1499178122U2Q4H6S4E
208;Baegar;Baegar;<@U035AASB8> and I will be in Horgen Tomorrow for the whole day. We will also be in Horgen on Thursday afternoon.;1499176819.703406;1499176819U035J4RG4
209;Torerne;Torerne;I am back from all the meetings but working from home now.;1499176755.677383;1499176755U035FRZHY
210;Brarald;Brarald;Unfortunately, I stay at home,I don't feel good. Hope to see you tomorrow!:raising_hand:;1499171300.76912;1499171300U4U5QNWTZ
211;Caenraenos;Caenraenos;Snoozing Slack because my work is critical right now. 077 436 77 55 for emergencies.;1499156424.940486;1499156424U035AASB8
212;Brarald;Brarald;Will be at 11 in the office;1499151515.429616;1499151515U4U5QNWTZ
213;Overton;Overton;I will have to leave at 16:30 today because I have to let in the plumber at home. I will finish up some work from there.;1499151382.397425;1499151382U0PSDKXHR
214;Galeris;Galeris;as announced yesterday i'm in homeoffice today;1499149466.977784;1499149466U036SKV77
215;Caenraenos;Caenraenos;Late, I know: I will do home office tomorrow to finally get the technical specification of myACME into a first draft state.  Thank you for only contacting me when absolutely necessary :slightly_smiling_face:;1499110868.8505962;1499110868U035AASB8
216;Torerne;Torerne;<@U035B8PRU> and I are at Shopishop and jobchannel tomorrow and therefore not in the office most of the day;1499109929.612577;1499109929U035FRZHY
217;Galeris;Galeris;Unless my foot gets better overnight, i’ll also be in homeoffice tomorrow (cleared with Mario);1499092740.714625;1499092740U036SKV77
218;Barler;Barler;I would like to do home office tomorrow.;1499092154.448169;1499092154U3LNBFS85
219;Tareneos;Tareneos;FYI: I'll be here all this week except Wednesday, possible only in the morning;1499091693.238916;1499091693U4C4ZJYNS
220;Darnor;Darnor;"i'll be at ""Therefore"" tomorrow morning and back in the office in the afternoon. (not available by phone from 11:30 to 13:00 due to iphone repair, just slack)";1499086116.884551;1499086116U1D7Q9J8M
