;user;class;text;ts;key
48;Joragni;8;See you all again on Thursday.;1502258334.135314;1502258334U0K4J0613
49;Celtheon;1;I'll arrive around 10 today;1502257631.016404;1502257631U1RLS54MB
49;Celtheon;8;I have to make my driving license replaced to a swiss one.;1502257631.016404;1502257631U1RLS54MB
50;Darnor;6;Will be at SPS in the morning.;1502207314.1155882;1502207314U1D7Q9J8M
51;Furrow;3;I’ll do HO tomorrow;1502206128.3479118;1502206128U3V31A9M0
52;Ryswell;2;On vacation now :slightly_smiling_face: back in the office on August 30th;1502205779.122267;1502205779U2777Q7E3
53;Eliar;6;I am at a meeting in Zurich this afternoon with <@U035G74QE>).;1502171052.819909;1502171052U0A8NPHRD
54;Torerne;6;I am at a meeting in Schinznach this afternoon;1502170895.7938929;1502170895U035FRZHY
55;Ragaenys;1;Tomorrow I will leave around 11.30;1502090283.801859;1502090283U4A2FRAQ4
55;Ragaenys;7;will be back after lunch for a pregnancy medical consultation;1502090283.801859;1502090283U4A2FRAQ4
56;Myke;3;I'll at HO tomorrow Thursday.;1502090251.793549;1502090251U0MGNKETU
56;Myke;1;On Thursday I need to be home for bathroom water leaking last finishing work.;1502090251.793549;1502090251U0MGNKETU
57;Vaerys;3;On Wednesday I will be in HO too;1502090095.752046;1502090095U0PLNK7EK
58;Baegar;3;On Wednesday I will be in HO.;1502089135.516404;1502089135U035J4RG4
59;Gonaleos;1;I missed my bus because the route is changed temporarily;1502087879.2469301;1502087879U3W886EF4
59;Gonaleos;1;so I will arrive 15 mins later;1502087879.2469301;1502087879U3W886EF4
60;Maehagar;3;Doing home office today as I have to wait for an anticipated delivery;1502084931.719275;1502084931U278DLL2D
61;Olmomir;2;"I will be off Monday 07) &amp; Tuesday 08) :back_away:";1501853886.9553368;1501853886U0CN3AKDL
62;Tareneos;8;I'm not 100% online today;1501845796.047994;1501845796U4C4ZJYNS
62;Tareneos;5;got a bad headache that started just before lunch;1501845796.047994;1501845796U4C4ZJYNS
62;Tareneos;8;finding it hard to focus;1501845796.047994;1501845796U4C4ZJYNS
63;Taengaeron;3;Also doing home office today;1501831134.4489849;1501831134U4C55CKGX
64;Galeris;2;I have a day off tomorrow so i'll be at the 4 - :evergreen_tree: - :cityscape: - :ocean:  enjoying some :beers:  :smile:;1501784080.245184;1501784080U036SKV77
65;Furrow;3;Tomorrow I’ll be in HO too;1501772865.499737;1501772865U3V31A9M0
66;Myke;3;Tomorrow I'll be in HO too;1501772857.4945474;1501772857U0MGNKETU
67;Overton;1;Will have to leave a bit earlier tomorrow at around 16:30).;1501771348.486515;1501771348U0PSDKXHR
68;Darnor;3;Tomorrow I'll be in HO;1501761873.646661;1501761873U1D7Q9J8M
69;U0MGNKETU1;1;Be about 40m late.;1501741495.166262;1501741495U0MGNKETU1
69;U0MGNKETU1;1;Missed my train this morning.;1501741495.166262;1501741495U0MGNKETU1
70;Darnor;6;Will be at SPS tomorrow morning;1501686676.737542;1501686676U1D7Q9J8M
71;Gaelralis;3;I will be on my way to the country side this afternoon work thursday friday HO.;1501671840.580493;1501671840U0HLAK1T6
71;Gaelralis;8;sorry for the late notice.;1501671840.580493;1501671840U0HLAK1T6
72;Vaerys;1;I have to leave at 17:15 so that I can go;1501666135.704991;1501666135U0PLNK7EK
72;Vaerys;8;collect a parcel from the post office;1501666135.704991;1501666135U0PLNK7EK
73;Furrow;1;Missed train connection… I will be at the office at around 09.10.;1501655393.268282;1501655393U3V31A9M0
73;Furrow;3;Working online now.;1501655393.268282;1501655393U3V31A9M0
74;Eliar;8;As announced last Monday;1501654705.1246474;1501654705U0A8NPHRD
74;Eliar;2;I am off today :v:;1501654705.1246474;1501654705U0A8NPHRD
75;Maehagar;1;Will be a little bit late for the daily;1501654524.089001;1501654524U278DLL2D
75;Maehagar;1;- ZVV managed to cancel all of my trains;1501654524.089001;1501654524U278DLL2D
75;Maehagar;8;to delay the next one :angry:;1501654524.089001;1501654524U278DLL2D
76;Myke;3;I'll be at HO on Wednesday.;1501516524.175385;1501516524U0MGNKETU
76;Myke;1;Second inspection on the drier in my bathroom so I need to be home;1501516524.175385;1501516524U0MGNKETU
77;Eliar;2;I am off on Wednesday.;1501489604.5742118;1501489604U0A8NPHRD
78;Taengaeron;2;I am off on Monday Wednesday!;1501489349.484261;1501489349U4C55CKGX
79;Torerne;2;I will only be in the Office in the early Morning / after that I will take the Day Off too.;1501475682.515255;1501475682U035FRZHY
80;Bernareon;8;yeah me too :slightly_smiling_face:;1501447958.414088;1501447958U035G74QE
81;Olmomir;2;I will be off tomorrow Monday).;1501447911.410573;1501447911U0CN3AKDL
82;Darnor;2;Will have a day off on Monday.;1501447755.399083;1501447755U1D7Q9J8M
83;Balaemar;1;I will leaving at 3 today.;1501218223.155307;1501218223U035FRUCY
84;Vaerys;3;I will be in HO tomorrow;1501167194.777214;1501167194U0PLNK7EK
84;Vaerys;8;need to take care of some stuff at the Kreisburo;1501167194.777214;1501167194U0PLNK7EK
85;Taengaeron;1;I will be in de office around 10 this morning;1501136303.099034;1501136303U4C55CKGX
86;Maehagar;1;Will be at the office a tiny bit later today;1501135903.023967;1501135903U278DLL2D
86;Maehagar;1;since I missed my train;1501135903.023967;1501135903U278DLL2D
87;Myke;3;I'll be doing HO tomorrow;1501083538.181642;1501083538U0MGNKETU
87;Myke;8;maybe Friday to focus on GTM implementation;1501083538.181642;1501083538U0MGNKETU
88;Celtaris;1;I will be leaving a bit earlier today.;1501079552.545603;1501079552U2Q4H6S4E
89;Eliar;1;Have to leave around 16:45 today because I have to go to the post office.;1501073591.201377;1501073591U0A8NPHRD
89;Eliar;3;Will be available afterwards.;1501073591.201377;1501073591U0A8NPHRD
90;Taengaeron;1;will be in the office a bit later this morning;1501053523.455612;1501053523U4C55CKGX
90;Taengaeron;3;started this morning with conf calls from home;1501053523.455612;1501053523U4C55CKGX
91;Styrund;3;I will be in HO this afternoon working on the BANK-now Layout for an A/B-Testing with the calculator;1501050753.7876608;1501050753U036U40UC
92;Gonaleos;2;I will be on holiday from tomorrow until the end of the next week;1500983198.254787;1500983198U3W886EF4
93;Eliar;6;<@U035FRZHY> <@U035B8PRU> <@U4A2FRAQ4> I are in Zurich tomorrow morning for the Mobile ID kick off meeting.;1500983146.239057;1500983146U0A8NPHRD
94;Taengaeron;3;I will be working from HO this afternoon.;1500982690.1056552;1500982690U4C55CKGX
95;Caenraenos;6;Reduced availability for BN meeting from now to 1600 driving car);1500976516.2066581;1500976516U035AASB8
96;Celtaris;5;I am not feeling too well;1500975957.007142;1500975957U2Q4H6S4E
96;Celtaris;3;I will be working from HO in the afternoon.;1500975957.007142;1500975957U2Q4H6S4E
97;Balaemar;5;My daughter has a bit fever;1500956466.930591;1500956466U035FRUCY
97;Balaemar;5;has to stay at home today.;1500956466.930591;1500956466U035FRUCY
97;Balaemar;3;So I am in HO today.;1500956466.930591;1500956466U035FRUCY
98;Celtaris;1;I have an appointment in the city in the morning;1500931552.096643;1500931552U2Q4H6S4E
98;Celtaris;1;will be a little late.;1500931552.096643;1500931552U2Q4H6S4E
99;Balaemar;5;My daughter is ill again.;1500911585.335724;1500911585U035FRUCY
99;Balaemar;8;We will see tomorrow;1500911585.335724;1500911585U035FRUCY
99;Balaemar;3;if she has to stay at home I will be in HO tomorrow.;1500911585.335724;1500911585U035FRUCY
99;Balaemar;7;If it is necessary I could come to the office in the afternoon.;1500911585.335724;1500911585U035FRUCY
100;Jaereron;1;I have to leave a little bit earlier .. at 17:25;1500908132.14474;1500908132U035G5WMS
101;Caenraenos;3;I will be in HO tomorrow so I can concentrate on BN Technical Spec.;1500907817.945487;1500907817U035AASB8
102;Myke;3;I'll be doing HO tomorrow;1500900869.094923;1500900869U0MGNKETU
102;Myke;8;need to be at home for some post-reparation inspection of the water leakage in my bathroom.;1500900869.094923;1500900869U0MGNKETU
103;Balaemar;8;Instead of waiting for the FE guys I am leaving now;1500900455.930597;1500900455U035FRUCY
103;Balaemar;3;be earlier back in HO;1500900455.930597;1500900455U035FRUCY
104;Balaemar;1;I have to leave at 3pm today for an just received appointment in the garage.;1500891496.151286;1500891496U035FRUCY
104;Balaemar;3;I will be in HO afterwards at around 17:30;1500891496.151286;1500891496U035FRUCY
104;Balaemar;8;complete the new bn docker 14.0;1500891496.151286;1500891496U035FRUCY
105;Caenraenos;6;I am at BANK-now from 0900 to 1330;1500878282.949252;1500878282U035AASB8
106;Eliar;4;Due to physiotherapy I'll have to catch the Train at 3 pm.;1500878266.945523;1500878266U0A8NPHRD
106;Eliar;3;Will work from home afterwards.;1500878266.945523;1500878266U0A8NPHRD
107;Styrund;8;sorry for the short notice we totally forgot about that;1500877889.866778;1500877889U036U40UC
108;Styrund;4;My wife has a doctors appointment today afternoon so i will be in home office after lunch;1500877878.864519;1500877878U036U40UC
109;Celtaris;2;I have a day off tomorrow - see you all on Tuesday.;1500832901.7173474;1500832901U2Q4H6S4E
110;Kenning;3;I am doing HO today;1500616085.277883;1500616085U4CM3PGSH
111;Baegar;3;I will be in the HO in the afternoon.;1500615445.177835;1500615445U035J4RG4
112;Myke;3;I'll be doing HO tomorrow;1500562550.046113;1500562550U0MGNKETU
113;Taengaeron;8;<@U4C55CKGX|Taengaeron> has joined the channel;1500549703.96235;1500549703U4C55CKGX
114;Kenning;3;I will be in HO tomorrow whole day).;1500546433.007256;1500546433U4CM3PGSH
115;Celtaris;3;I wil be in HO tomorrow afternoon.;1500545657.762855;1500545657U2Q4H6S4E
116;Darnor;6;Will be out of office in the afternoon for meetings with SPS.;1500542567.6593769;1500542567U1D7Q9J8M
117;Galeris;1;I’m in early today as I have to leave at 16:50 today;1500529033.810448;1500529033U036SKV77
118;Vaerys;1;I would need to leave around lunch today to take care of some insurance stuff;1500527940.63715;1500527940U0PLNK7EK
118;Vaerys;3;then I will continue to work from home after that;1500527940.63715;1500527940U0PLNK7EK
119;Balaemar;1;tomorrow thursday) I need to leave at 16:30 to watch for my daughter on friday at 17:00 for an graduation party of my son's school;1500451075.43876;1500451075U035FRUCY
120;Galeris;1;I’ll need to leave at 17:40 at the latest today due to an insurance appointment;1500448523.656612;1500448523U036SKV77
121;Myke;1;I'll be about an hour late today.;1500444638.753203;1500444638U0MGNKETU
121;Myke;1;Trouble sleeping last night overslept.;1500444638.753203;1500444638U0MGNKETU
121;Myke;1;Be available on the train.;1500444638.753203;1500444638U0MGNKETU
122;Maehagar;1;I need to leave at ~14:45 tomorrow in order to catch a flight;1500408696.15328;1500408696U278DLL2D
123;Ryswell;5;As I still have pain after the op on Monday;1500407227.36326;1500407227U2777Q7E3
123;Ryswell;3;I will stay tomorrow at home;1500407227.36326;1500407227U2777Q7E3
123;Ryswell;3;do HO;1500407227.36326;1500407227U2777Q7E3
124;Eliar;4;I'm offline for about 1 hour because of physiotherapy.;1500382776.96632;1500382776U0A8NPHRD
124;Eliar;3;Will be online afterwards.;1500382776.96632;1500382776U0A8NPHRD
125;Darnor;1;Will be out of office between 3pm 4pm due to a a insurance appointment.;1500363750.459222;1500363750U1D7Q9J8M
126;Kenning;1;I will come 15 minutes later as I am at the post office;1500360851.65672;1500360851U4CM3PGSH
127;Myke;8;As discussed with Fabian;1500309124.757713;1500309124U0MGNKETU
127;Myke;3;I'll be in HO tomorrow too.;1500309124.757713;1500309124U0MGNKETU
127;Myke;8;Be working on GTM depending on feedback;1500309124.757713;1500309124U0MGNKETU
128;Malaegor;8;<@U1D7Q9J8M> would like to have a daily deploy to prod for this week;1500303424.2602859;1500303424U2D54KATU
129;Barler;1;I need to leave earlier tomorrow afternoon;1500301641.1372788;1500301641U3LNBFS85
129;Barler;1;"16:00)
If someone wants a spectra test/prod deployment keep in mind that Silvan is also not here tomorrow afternoon.";1500301641.1372788;1500301641U3LNBFS85
129;Barler;8;So let me know early.;1500301641.1372788;1500301641U3LNBFS85
129;Barler;8;Otherwise you can try to ask Rodrigo :wink:;1500301641.1372788;1500301641U3LNBFS85
130;Eliar;3;As discussed with Manuela I am in HO tomorrow.;1500295591.968894;1500295591U0A8NPHRD
131;Baegar;2;This week I will take days off on Tuesday on Thursday.;1500283828.4041786;1500283828U035J4RG4
132;Caenraenos;3;I am in HO this afternoon to concentrate on the BANK-now Tech Spec;1500282641.007364;1500282641U035AASB8
132;Caenraenos;6;tomorrow I will be at BANK-now in Horgen.;1500282641.007364;1500282641U035AASB8
133;Torerne;6;I am at Credit Suisse for a YIO-meeting tomorrow morning;1500278852.771652;1500278852U035FRZHY
133;Torerne;3;will work from home before.;1500278852.771652;1500278852U035FRZHY
133;Torerne;7;Back in the office after lunch.;1500278852.771652;1500278852U035FRZHY
133;Torerne;1;And on Friday I am leaving at noon.;1500278852.771652;1500278852U035FRZHY
134;Kenning;3;I would like to do HO on Friday.;1500278802.7562392;1500278802U4CM3PGSH
135;Gaelralis;3;Wie angekündigt mache ich HO heute und morgen.;1500270069.927246;1500270069U0HLAK1T6
136;Braddock;2;I’m on holidays until the 7th of August.;1500246205.330823;1500246205U0CNKFT0A
136;Braddock;8;I have very limited access to internet.;1500246205.330823;1500246205U0CNKFT0A
136;Braddock;8;It can happen that I’m not able to see any digital message for a few days in a row.;1500246205.330823;1500246205U0CNKFT0A
136;Braddock;8;Please call me when you need to exchange information that requires a swift response.;1500246205.330823;1500246205U0CNKFT0A
136;Braddock;8;Thank you.;1500246205.330823;1500246205U0CNKFT0A
137;Ryswell;4;As Ramon already knows I am not in the office tomorrow because of a hospital appointment.;1500228298.9053528;1500228298U2777Q7E3
137;Ryswell;3;On Tuesday I will be in HO.;1500228298.9053528;1500228298U2777Q7E3
137;Ryswell;7;Back on Wednesday;1500228298.9053528;1500228298U2777Q7E3
138;Joragni;8;As I mentioned earlier this week;1500043196.820211;1500043196U0K4J0613
138;Joragni;2;I'm on holiday from 17 - 28 July.;1500043196.820211;1500043196U0K4J0613
138;Joragni;7;I'll be back in the office on Monday 31 July;1500043196.820211;1500043196U0K4J0613
139;Myke;8;The worker has returned to work in my bathroom.;1500031096.0095642;1500031096U0MGNKETU
139;Myke;1;I'm going out now for late lunch.;1500031096.0095642;1500031096U0MGNKETU
140;Furrow;1;Because of the holiday schedule I accidentally took a slower train.;1500013911.16006;1500013911U3V31A9M0
140;Furrow;1;Will be in tze office in around one hour.;1500013911.16006;1500013911U3V31A9M0
140;Furrow;3;But working an available right now.;1500013911.16006;1500013911U3V31A9M0
141;Overton;8;as already mentioned a few days before;1500013778.1328561;1500013778U0PSDKXHR
141;Overton;3;I will be in HO in the afternoon.;1500013778.1328561;1500013778U0PSDKXHR
142;Celtaris;1;I will be leaving around 11:30 for lunch;1500011467.724283;1500011467U2Q4H6S4E
142;Celtaris;3;I will be in HO in the afternoon.;1500011467.724283;1500011467U2Q4H6S4E
143;Myke;8;As mentioned;1500011414.715944;1500011414U0MGNKETU
143;Myke;3;I'll be doing HO today from 7:30 to 4:30;1500011414.715944;1500011414U0MGNKETU
144;Celtheon;1;Today I won't be available between 9-11.;1499989582.912019;1499989582U1RLS54MB
145;Myke;3;I'll be in HO tomorrow.;1499959602.432023;1499959602U0MGNKETU
145;Myke;8;The worker will start working from 7.30am for the water leakage;1499959602.432023;1499959602U0MGNKETU
145;Myke;8;I need to inspect the work at the end of the day.;1499959602.432023;1499959602U0MGNKETU
146;Galeris;1;I’ll need to leave after the DI info today;1499952398.0585651;1499952398U036SKV77
146;Galeris;8;so if you need anything ask me now;1499952398.0585651;1499952398U036SKV77
146;Galeris;1;as I have to be off afterwards;1499952398.0585651;1499952398U036SKV77
147;Barler;1;I am now away until 1600;1499945149.338864;1499945149U3LNBFS85
148;Balaemar;1;tomorrow friday) I have to leave at 1500 to watch after my kids when my wife is away for an appointment;1499940381.908711;1499940381U035FRUCY
149;Tareneos;1;Away now until 16:00;1499933383.390334;1499933383U4C4ZJYNS
150;Barler;1;Will be away from 12:00 to 16:00 in the office afterwards;1499931154.672653;1499931154U3LNBFS85
151;Bernareon;1;gonna be late today because yesterday got late;1499927828.811856;1499927828U035G74QE
152;Brarald;3;I'm now in HO.;1499927449.7296062;1499927449U4U5QNWTZ
152;Brarald;7;Will be in the office in the afternoon.;1499927449.7296062;1499927449U4U5QNWTZ
153;Barler;4;I need to leave at 15:00 today due to a doctors appointment;1499923647.0443811;1499923647U3LNBFS85
154;Braddock;4;Today I have an appointment from 11:15 to 11:45 at the physiotherapist.;1499922582.8737054;1499922582U0CNKFT0A
155;Ragaenys;1;<@U035FRZHY> <@U0CN3AKDL> please be aware that tomorrow I will have to leave at 18 to see the last house;1499882775.1251106;1499882775U4A2FRAQ4
155;Ragaenys;8;then have a birthday party.;1499882775.1251106;1499882775U4A2FRAQ4
157;Styrund;2;tomorrow i will be here in the afternoon instead of in the morning;1499853515.500574;1499853515U036U40UC
158;Gaelralis;3;next week I will be on HO in the bernese countryside.;1499844946.4460142;1499844946U0HLAK1T6
159;Tareneos;2;Today is my half-day papi tag I have to leave at 11:15 to pickup my kid from school cook lunch I will be offline until the night again;1499844802.4037304;1499844802U4C4ZJYNS
160;Celtaris;3;On  Friday I will be out for lunch in HO afterwards.;1499841797.608811;1499841797U2Q4H6S4E
161;Maehagar;1;I'll have to come 1h later today - gotta visit the post office;1499837560.802311;1499837560U278DLL2D
162;Joragni;2;As scheduled;1499832214.95479;1499832214U0K4J0613
162;Joragni;2;I'm taking the day off today.;1499832214.95479;1499832214U0K4J0613
162;Joragni;8;See you all again on Thursday.;1499832214.95479;1499832214U0K4J0613
163;Darnor;6;Tomorrow Christian I will be at Tertianum SPS.;1499790075.321945;1499790075U1D7Q9J8M
164;Baegar;3;Tomorrow I will be in HO;1499789532.005637;1499789532U035J4RG4
164;Baegar;8;as already announced on Monday);1499789532.005637;1499789532U035J4RG4
165;Myke;3;"Tomorrow &amp; Friday I will work from home on GTM.";1499788042.071527;1499788042U0MGNKETU
165;Myke;8;On Friday morning I have someone come to repair the water leakage in my bathroom from 7.30am;1499788042.071527;1499788042U0MGNKETU
165;Myke;3;so I will work from the Library.;1499788042.071527;1499788042U0MGNKETU
166;Balaemar;1;i am off for about 45min;1499780049.0577981;1499780049U035FRUCY
167;Overton;5;My back-pain got worse over the night so I’m going to visit a chiropractor later today.;1499759236.640032;1499759236U0PSDKXHR
167;Overton;1;Because of this I have to leave at 16:30.;1499759236.640032;1499759236U0PSDKXHR
167;Overton;3;I will be back online at 18:00;1499759236.640032;1499759236U0PSDKXHR
167;Overton;8;work some more.;1499759236.640032;1499759236U0PSDKXHR
167;Overton;3;Also I will be in HO on Friday afternoon.;1499759236.640032;1499759236U0PSDKXHR
168;Tareneos;1;FYI I have a hard stop at 16:00 as I have to pickup the kids this evening;1499756399.830859;1499756399U4C4ZJYNS
169;Joragni;2;From Monday 17 July through Friday 28 July I'll be on vacation.;1499748702.4333231;1499748702U0K4J0613
170;Caenraenos;6;I will be at Aspectra in the morning with <@U4C4ZJYNS> <@U035G5WMS> at BANK-now in the afternoon.;1499722672.702147;1499722672U035AASB8
171;Furrow;3;I forgot to mention  that I'll be in HO tomorrow as discussed with Manuela.;1499701736.444093;1499701736U3V31A9M0
171;Furrow;8;Sorry!;1499701736.444093;1499701736U3V31A9M0
172;Balaemar;5;my daughter has some fever;1499696435.077939;1499696435U035FRUCY
172;Balaemar;3;should stay at home tomorrow.;1499696435.077939;1499696435U035FRUCY
